,"P1=0, P2=0, P3=0","P1=0, P2=0, P3=1","P1=0, P2=1, P3=0","P1=0, P2=1, P3=1","P1=1, P2=0, P3=0","P1=1, P2=0, P3=1","P1=1, P2=1, P3=0","P1=1, P2=1, P3=1"
Transition Generation Time (s),30.06367273899923,29.452106427001127,27.454923745999622,27.14551552699959,29.27026523800123,28.962666777000777,27.803722574999483,27.140180278000116
Transitions Generated,25.0,24.0,24.0,23.0,23.0,22.0,22.0,21.0
