"P1=0, P2=0, P3=0","P1=0, P2=0, P3=1","P1=0, P2=1, P3=0","P1=0, P2=1, P3=1","P1=1, P2=0, P3=0","P1=1, P2=0, P3=1","P1=1, P2=1, P3=0","P1=1, P2=1, P3=1"
25.5654367050156,22.372819949989207,11.20614442799706,10.49853942898335,24.17577190301381,21.42084498697659,11.676420514995698,9.75955929805059
3158.0,2680.0,1822.0,1550.0,3034.0,2566.0,1804.0,1533.0
45.87185079295887,54.00796103803441,6.29474186495645,6.287759175989777,38.58615149103571,37.42750970204361,6.4542884299880825,5.814726091979537
6081.0,5883.0,1387.0,1362.0,5701.0,5508.0,1384.0,1359.0
34.69952473597368,27.893030177045148,6.379591290024109,5.58487578103086,31.789460587955546,27.04525831300998,6.193750324018765,4.854479642002843
4049.0,3360.0,703.0,586.0,3881.0,3212.0,696.0,579.0
17.383793481974863,16.14103142399108,10.948514037008863,9.83281488303328,14.628342500014696,13.728980827028863,10.628415065992158,9.61971108999569
2063.0,1947.0,1288.0,1205.0,1928.0,1814.0,1273.0,1190.0
35.670943985984195,34.49593529198319,18.23041422298411,17.521909556991886,33.313204560021404,31.917008089949377,17.702947980025783,17.032449631020427
5648.0,5458.0,3221.0,3097.0,5440.0,5260.0,3192.0,3068.0
41.42215465800837,36.63237547100289,28.90137154702097,25.246504475013353,39.1752040500287,34.4983723500045,28.0777693829732,24.69708085997263
5136.0,4389.0,3892.0,3356.0,4959.0,4233.0,3828.0,3294.0
84.2102955210139,81.49652925599366,44.84446231101174,42.39420149399666,77.81059353001183,74.68693581200205,44.41963447199669,42.3703871339676
8146.0,7931.0,3802.0,3674.0,7777.0,7571.0,3786.0,3658.0
112.43818155798363,109.714930231974,27.172242024971638,26.450475263991393,102.81301544298185,99.44691960595082,27.041580229997635,26.35951506101992
15128.0,14198.0,3059.0,2941.0,14570.0,13662.0,3044.0,2926.0
180.94109053595457,178.15127547399607,30.168570862035267,28.57853909500409,165.53270406398224,163.13371848495444,29.864412377006374,28.607443135988433
25947.0,25062.0,4102.0,3837.0,24894.0,24029.0,4082.0,3818.0
124.00302054703934,124.78963587299222,55.47931913199136,52.5828302379814,118.03247638000175,118.2734330049716,54.61427693802398,51.49459002900403
17975.0,17078.0,11467.0,10903.0,17391.0,16504.0,11399.0,10835.0
79.11786290298915,70.42342454602476,31.408788235043176,28.988913998007774,71.11540117801633,64.29771134798648,30.879995141993277,28.611407838994637
12383.0,10645.0,5344.0,4738.0,11988.0,10283.0,5308.0,4703.0
201.8419210090069,200.74814115901245,7.670278378995135,7.3734860210097395,183.71552566200262,181.26344452699414,7.508513534965459,7.399081491981633
34256.0,33498.0,1609.0,1595.0,33084.0,32342.0,1586.0,1572.0
