((1, 1), (3, 1), (13, 14)), (157.50000000000003, 973.6121593216773), (70.2841985605666, -204.36459063437363)
((1, 1), (3, 1), (11, 2)), (157.50000000000003, 973.6121593216773), (77.98844911374636, -105.64846092882131)
((1, 1), (1, 3), (4, 17)), (126.38784067832273, 942.5), (28.966866871283166, -203.24544371090207)
((1, 1), (1, 3), (3, 16)), (126.38784067832273, 942.5), (17.30665336037252, -201.14808130728136)
((1, 1), (1, 3), (2, 16)), (126.38784067832273, 942.5), (13.234827501220476, -201.14445471152024)
((1, 1), (1, 3), (7, 15)), (126.38784067832273, 942.5), (40.9655872155629, -199.23841606226324)
((1, 1), (1, 3), (5, 16)), (126.38784067832273, 942.5), (33.09916702792866, -201.21624611287953)
((1, 1), (1, 3), (5, 14)), (126.38784067832273, 942.5), (34.73328202730702, -190.60882824539527)
((1, 1), (1, 3), (3, 13)), (126.38784067832273, 942.5), (18.44614892182612, -188.31250142553114)
((1, 1), (1, 3), (2, 13)), (126.38784067832273, 942.5), (14.118930937445406, -188.30680815305848)
((1, 1), (1, 3), (13, 14)), (126.38784067832273, 942.5), (73.84604108948847, -200.90241715373912)
((1, 1), (1, 3), (11, 2)), (126.38784067832273, 942.5), (81.10145520984295, -102.16094938977274)
((1, 1), (3, 3), (11, 2)), (181.8134665205268, 910.5), (77.13792771269583, -93.49765091181217)
((3, 1), (1, 3), (12, 13)), (226.38784067832273, 942.5), (64.4532703449178, -187.39380650176582)
((3, 1), (1, 3), (4, 17)), (226.38784067832273, 942.5), (17.136121529448847, -203.2086485271215)
((3, 1), (1, 3), (3, 16)), (226.38784067832273, 942.5), (5.003156871631094, -201.14260816736467)
((3, 1), (1, 3), (2, 16)), (226.38784067832273, 942.5), (0.8632390376223428, -201.1425697038259)
((3, 1), (1, 3), (1, 14)), (226.38784067832273, 942.5), (-3.348490825199238, -196.95601008222508)
((3, 1), (1, 3), (7, 15)), (226.38784067832273, 942.5), (29.52043105902391, -199.10840338535212)
((3, 1), (1, 3), (5, 15)), (226.38784067832273, 942.5), (25.565208095740513, -199.08736097358158)
((3, 1), (1, 3), (5, 16)), (226.38784067832273, 942.5), (21.336817445359234, -201.155301999019)
((3, 1), (1, 3), (5, 14)), (226.38784067832273, 942.5), (22.468608591874627, -190.52214544819316)
((3, 1), (1, 3), (3, 13)), (226.38784067832273, 942.5), (5.3432803877372645, -188.3038935390667)
((3, 1), (1, 3), (2, 13)), (226.38784067832273, 942.5), (0.9220903817828496, -188.3038325518665)
((3, 1), (1, 3), (13, 14)), (226.38784067832273, 942.5), (64.83887679562436, -200.1652515609548)
((3, 1), (1, 3), (11, 2)), (226.38784067832273, 942.5), (72.74343877756174, -96.44645270551929)
((3, 1), (7, 3), (11, 2)), (385.0, 900.0), (58.10482901476788, -77.7852824892956)
((3, 1), (3, 3), (11, 2)), (226.38784067832273, 942.5), (72.74343877756174, -96.44645270551929)
((3, 1), (5, 5), (11, 2)), (300.0, 815.0), (67.69997035141284, -67.3929425896984)
((1, 3), (3, 3), (11, 2)), (157.50000000000003, 873.6121593216773), (79.53079780938238, -88.92142030032831)
((1, 3), (5, 5), (11, 2)), (285.0, 800.0), (69.03833041013964, -66.08934957127892)
((1, 3), (3, 7), (11, 2)), (199.99999999999997, 715.0), (75.49598493079466, -60.81946260978289)
((11, 11), (7, 13), (2, 15)), (615.0, 400.0), (-57.6549040415317, -104.9005655054566)
((11, 11), (7, 13), (2, 13)), (615.0, 400.0), (-66.1222161923919, -101.02607599818928)
((11, 11), (7, 13), (13, 14)), (615.0, 400.0), (37.08873750899734, -112.47037974520529)
((11, 11), (7, 13), (4, 7)), (657.5, 326.38784067832273), (-57.753713638549264, -30.322566724444727)
((11, 11), (7, 13), (2, 9)), (615.0, 400.0), (-65.65052688834392, -56.8998871874094)
((11, 11), (7, 13), (5, 3)), (657.5, 326.38784067832273), (-41.486037640304545, -12.023019927730786)
((11, 11), (7, 13), (7, 4)), (657.5, 326.38784067832273), (-26.65708288341849, -4.978606010222705)
((11, 11), (7, 13), (8, 2)), (657.5, 326.38784067832273), (-14.381841117538626, -1.3210125537492559)
((11, 11), (7, 13), (3, 5)), (657.5, 326.38784067832273), (-53.55097804344162, -22.20839879809816)
((11, 11), (7, 13), (11, 2)), (551.0, 400.0), (19.66566766725921, -2.678941434622942)
((11, 11), (13, 13), (4, 7)), (849.0, 400.0), (-78.67209078562995, -59.04833284181656)
((11, 11), (13, 13), (2, 9)), (773.6121593216773, 442.5), (-79.59978191108394, -78.43085453844215)
((11, 11), (13, 13), (5, 3)), (849.0, 400.0), (-67.12977199869762, -33.77021441333828)
((11, 11), (13, 13), (7, 4)), (849.0, 400.0), (-56.167153592674104, -24.024148852743807)
((11, 11), (13, 13), (8, 2)), (849.0, 400.0), (-44.4936886270868, -13.654716622548435)
((11, 11), (13, 13), (3, 5)), (849.0, 400.0), (-76.15865653571846, -47.7144840647563)
((11, 11), (13, 13), (11, 2)), (849.0, 400.0), (-30.227606217079604, -6.324288055209493)
((1, 17), (7, 17), (2, 9)), (349.0, 100.0), (-15.351432086271743, -1.7813095565044392)
((1, 17), (7, 17), (5, 3)), (349.0, 100.0), (7.153313158654436, -0.287549577515108)
((1, 17), (1, 15), (13, 14)), (125.50000000000003, 229.03778516388138), (91.50931195437437, -102.85847635918888)
((1, 17), (1, 15), (5, 3)), (70.96221483611868, 174.50000000000006), (45.681845903181106, -12.44972969047248)
((1, 17), (1, 15), (8, 2)), (70.96221483611868, 174.50000000000006), (61.53251969735031, -20.986600870373053)
