((1, 1), (3, 1), (6, 1)), (360.0, 675.0), (27.90542896911903, -51.88381500997621)
((1, 1), (3, 1), (13, 11)), (342.5, 670.3108891324554), (41.57363543875203, -100.21581210110554)
((1, 1), (3, 1), (11, 11)), (342.5, 670.3108891324554), (39.55857170338846, -101.2487885719718)
((1, 1), (3, 1), (13, 9)), (360.0, 675.0), (41.98879369326155, -95.93942428509567)
((1, 1), (1, 3), (6, 1)), (329.6891108675446, 657.5), (34.12309412349432, -48.42379440157623)
((1, 1), (1, 3), (13, 11)), (329.6891108675446, 657.5), (43.72356101411522, -98.0484854731613)
((1, 1), (1, 3), (11, 11)), (329.6891108675446, 657.5), (41.769403640399446, -99.04685030183242)
((1, 1), (1, 3), (13, 9)), (329.6891108675446, 657.5), (46.44334279340812, -93.28109290352728)
((1, 1), (5, 3), (6, 1)), (395.0, 640.0), (23.033166899604783, -35.85524577475207)
((1, 1), (5, 3), (13, 13)), (395.0, 640.0), (33.72391054464067, -102.58127515323844)
((1, 1), (5, 3), (13, 11)), (395.0, 640.0), (35.79037758389871, -93.38881539808767)
((1, 1), (5, 3), (11, 11)), (395.0, 640.0), (33.51082924046702, -94.55709023078461)
((1, 1), (5, 3), (13, 9)), (395.0, 640.0), (38.932780878407655, -88.10584421570346)
((3, 1), (1, 3), (6, 1)), (369.6891108675446, 657.5), (27.196685398251912, -45.11596858140334)
((3, 1), (1, 3), (13, 11)), (369.6891108675446, 657.5), (38.549708020759326, -97.29655565880745)
((3, 1), (1, 3), (11, 11)), (369.6891108675446, 657.5), (36.408407861956015, -98.39458755709049)
((3, 1), (1, 3), (13, 9)), (369.6891108675446, 657.5), (41.514123518606, -92.27928022078041)
((3, 1), (9, 1), (2, 2)), (459.8, 640.0), (-28.744821866069856, -38.945798446992974)
((3, 1), (9, 1), (3, 2)), (459.8, 640.0), (-23.37001472865477, -36.00975627026623)
((3, 1), (9, 1), (13, 13)), (459.8, 640.0), (23.586986299048817, -102.12578973686544)
((3, 1), (9, 1), (13, 11)), (459.8, 640.0), (25.46486125185078, -92.64086178462759)
((3, 1), (9, 1), (11, 11)), (459.8, 640.0), (22.817933304070355, -93.97179368207017)
((3, 1), (9, 1), (13, 9)), (459.8, 640.0), (29.016693541226473, -86.95074808484006)
((3, 1), (5, 3), (13, 13)), (405.1, 648.8334591186012), (31.878148880902557, -104.15627962788771)
((3, 1), (5, 3), (13, 11)), (405.1, 648.8334591186012), (33.89641708337091, -95.04114558525555)
((3, 1), (5, 3), (11, 11)), (405.1, 648.8334591186012), (31.56732602660699, -96.23184342898045)
((3, 1), (5, 3), (13, 9)), (405.1, 648.8334591186012), (37.094891660169424, -89.75003943164961)
((1, 3), (5, 3), (6, 1)), (390.3108891324554, 617.5), (25.0769130039458, -26.789594963915246)
((1, 3), (5, 3), (13, 13)), (390.3108891324554, 617.5), (35.371738248790635, -98.29555423558298)
((1, 3), (5, 3), (13, 11)), (390.3108891324554, 617.5), (37.52472609717036, -88.796393216627)
((1, 3), (5, 3), (11, 11)), (390.3108891324554, 617.5), (35.27074720269825, -89.95147518105327)
((1, 3), (5, 3), (13, 9)), (390.3108891324554, 617.5), (40.63341869276944, -83.41719629080785)
((11, 13), (13, 15), (3, 3)), (619.8, 400.0), (-40.01655719034371, -17.30174765603281)
((11, 13), (15, 9), (2, 2)), (611.7883191463094, 429.9), (-43.47443874703679, -21.406421840209198)
((11, 13), (15, 9), (3, 2)), (611.7883191463094, 429.9), (-40.011212526397735, -18.277875435514574)
((11, 13), (13, 11), (2, 2)), (611.7883191463094, 429.9), (-43.47443874703679, -21.406421840209198)
((11, 13), (13, 11), (3, 2)), (611.7883191463094, 429.9), (-40.011212526397735, -18.277875435514574)
((11, 13), (11, 9), (2, 2)), (589.9, 451.78831914630945), (-41.66429154147408, -20.900040832270903)
((11, 13), (11, 9), (3, 2)), (589.9, 451.78831914630945), (-38.03201244667347, -17.57837114840735)
((11, 13), (5, 13), (2, 2)), (500.2, 400.0), (-25.4648612518508, -6.999709912927585)
((11, 13), (5, 13), (3, 2)), (500.2, 400.0), (-20.63927586455918, -4.605644859781009)
((11, 13), (5, 13), (13, 14)), (500.2, 400.0), (30.766801293085912, -42.7137139406388)
((11, 13), (5, 13), (15, 12)), (500.2, 400.0), (35.5374894997366, -37.46018405617695)
((11, 13), (5, 13), (13, 11)), (500.2, 400.0), (28.744821866069856, -21.21576182952503)
((11, 13), (5, 13), (11, 11)), (500.2, 400.0), (26.559936256588006, -20.271778317077583)
((11, 13), (5, 13), (13, 9)), (500.2, 400.0), (29.668119324845808, -17.784095894383512)
((13, 15), (13, 11), (3, 3)), (629.9, 411.78831914630945), (-41.877404189677144, -19.40030093271725)
((1, 11), (5, 13), (2, 2)), (419.8, 440.0), (-10.968959377452988, -1.4447558196687922)
((1, 11), (5, 13), (3, 2)), (411.7883191463094, 410.09999999999997), (-2.6127011573435874, -0.07570975771663058)
((1, 11), (5, 13), (6, 1)), (377.5, 409.6891108675446), (16.267650192396808, -2.930588108973147)
((1, 11), (5, 13), (13, 14)), (395.0, 440.0), (43.9342192586764, -62.37697365135956)
((1, 11), (5, 13), (15, 12)), (395.0, 440.0), (47.655513737406956, -58.212444730259676)
((1, 11), (5, 13), (13, 11)), (395.0, 440.0), (43.72694535784302, -46.87449645010937)
((1, 11), (5, 13), (11, 11)), (395.0, 440.0), (42.097779935497634, -47.08294181179447)
((1, 11), (5, 13), (13, 9)), (395.0, 440.0), (45.2291683026551, -42.382998981899306)
((9, 1), (5, 3), (2, 2)), (485.0, 640.0), (-32.956427163828764, -41.75331430159593)
((9, 1), (5, 3), (3, 2)), (485.0, 640.0), (-28.47849213791988, -38.781514765879635)
((9, 1), (5, 3), (13, 14)), (485.0, 640.0), (21.11815759481094, -104.64938982667779)
((9, 1), (5, 3), (13, 11)), (485.0, 640.0), (20.91357077684765, -92.496986987387)
((9, 1), (5, 3), (11, 11)), (485.0, 640.0), (18.142000477036447, -93.87381331968332)
((9, 1), (5, 3), (13, 9)), (485.0, 640.0), (24.560124536240483, -86.68957619719362)
((15, 9), (13, 11), (2, 2)), (650.2, 480.0), (-49.94474580408718, -31.382223452035102)
((15, 9), (13, 11), (3, 2)), (650.2, 480.0), (-46.98976278152991, -28.204466276559412)
((15, 9), (11, 9), (2, 2)), (609.6891108675446, 497.5), (-46.06934482488727, -28.726666846204164)
((15, 9), (11, 9), (3, 2)), (609.6891108675446, 497.5), (-42.842293939627694, -25.278115727662616)
((13, 11), (11, 9), (2, 2)), (617.5, 470.3108891324554), (-45.90026011986853, -26.308631401232233)
((13, 11), (11, 9), (3, 2)), (617.5, 470.3108891324554), (-42.6297942774466, -22.988390591706704)
